file_name,category,description,transparent,suggested_web_usage,suggested_relative_size,source_sheet,pixel_size,notes
baima_lijia_village.png,scenes,白马李家村落、老屋、石墙、树木与孩童的完整场景,yes,地图主场景/起点,large,sheet2,362x337,组合场景；保留完整环境关系
arcade.png,scenes,游戏机厅建筑与门口人物,yes,城市地点节点,medium,sheet2,245x284,组合场景
hengyuanxiang_shop.png,scenes,恒源祥保暖内衣小店,yes,城市地点节点,medium,sheet2,235x225,组合场景
gandong_overpass_bamboo_bed_father_child.png,scenes,天桥、竹床、父亲与孩子,yes,核心记忆场景,large,sheet2,355x270,人物与竹床/天桥不可无损分离，保留组合
yaya_store_two_floor_cutaway.png,scenes,银座广场鸭鸭羽绒服一楼店铺二楼生活剖面,yes,最大核心场景,large,sheet2,290x361,完整组合场景
old_apartment.png,scenes,学校附近老式小区,yes,结尾地点节点,medium,sheet1,245x215,含道路与树木环境
city_transition_bus_skyline.png,scenes,公交车、进城路牌与城市天际线,yes,农村到城市过渡,wide,sheet1,445x121,组合转场素材
xiaohei_dog.png,people_animals,小黑趴在石头路沿旁,yes,可点击动物热点,small,sheet1,160x120,含饭碗和少量石头环境
grandfather.png,people_animals,坐在桌边的爷爷,yes,人物热点,small,sheet1,78x120,从爷爷奶奶同桌组合中单独裁取，边缘可能含桌面
grandmother.png,people_animals,坐在桌边的奶奶,yes,人物热点,small,sheet1,80x120,从爷爷奶奶同桌组合中单独裁取，边缘可能含桌面
village_kids.png,people_animals,村里孩子一起玩耍,yes,童年伙伴节点,medium,sheet2,220x165,组合人物
father_child_bamboo_bed.png,people_animals,竹床上的父亲与孩子,yes,核心人物热点,medium,sheet2,330x185,保留竹床，避免破坏人物轮廓
family_shop_people.png,people_animals,家人在羽绒服店内忙碌,yes,店铺生活热点,medium,sheet2,290x225,组合人物与店内环境
marbles.png,childhood_actions,孩子们在地上玩弹珠,yes,活动热点,medium,sheet2,215x160,组合动作场景
tree_climbing_cicada.png,childhood_actions,爬树抓知了,yes,活动热点,medium,sheet2,155x300,纵向组合场景
reservoir_swimming.png,childhood_actions,水库游泳的多个记忆画面,yes,活动热点,medium,sheet2,205x300,母版中多个游泳画面紧邻，保留组合
crayfish_fishing.png,childhood_actions,河边钓小龙虾,yes,活动热点,medium,sheet1,230x220,场景化组合素材
sweet_potato_roasting.png,childhood_actions,伙伴挖红薯、烤红薯,yes,活动热点,medium,sheet2,235x170,组合动作场景
friends_snacks.png,childhood_actions,伙伴围坐分享零食,yes,活动热点,medium,sheet2,180x160,组合动作场景
banana_gas_station.png,childhood_actions,香蕉与加油站记忆,yes,活动/地点小节点,medium,sheet1,180x122,母版中香蕉和加油站相邻，组合交付
potato_braised_meat.png,food_objects,土豆烧肉,yes,味觉热点,small,sheet1,92x78,
steamed_egg.png,food_objects,蒸蛋,yes,味觉热点,small,sheet1,82x75,
gui_yuan_egg_soup.png,food_objects,桂圆鸡蛋汤,yes,早餐味觉热点,small,sheet1,80x75,
spicy_strip.png,food_objects,辣条零食,yes,童年食物点缀,small,sheet2,100x75,
sweet_potato.png,food_objects,红薯,yes,活动/食物点缀,small,sheet1,95x85,
cicada.png,food_objects,知了,yes,自然/活动点缀,small,sheet1,65x90,
crayfish.png,food_objects,小龙虾,yes,活动/食物点缀,small,sheet1,105x80,
bananas.png,food_objects,一串香蕉,yes,活动/地点点缀,small,sheet1,82x70,
coins.png,food_objects,散落硬币,yes,游戏机厅声音节点,small,sheet1,100x70,
tv.png,food_objects,老式电视机,yes,少儿频道热点,small,sheet1,117x95,
snow.png,food_objects,窗外大雪与雪花,yes,天气热点/局部环境变化,small,sheet1,152x170,组合了窗景和雪花
